dataset,resnet,fcn,cnn,mlp,mcdcnn,twiesn,tlenet,encoder,ECR
ACSF1,0.916,0.898,0.334,0.558,0.226,0.592,0.1,0.444,0.92399997
Adiac,0.833248082,0.841432225,0.393350384,0.391304348,0.620460358,0.427621483,0.022506394,0.318158568,0.82966745
ArrowHead,0.837714286,0.843428571,0.716571429,0.784,0.677714286,0.689142857,0.302857143,0.629714286,0.81828564
Beef,0.753333333,0.68,0.766666667,0.713333333,0.506666667,0.526666667,0.2,0.706666667,0.7533334
BeetleFly,0.85,0.91,0.9,0.88,0.63,0.79,0.5,0.62,0.89000005
BirdChicken,0.88,0.94,0.71,0.74,0.54,0.62,0.5,0.51,0.9
BME,0.998666667,0.836,0.946666667,0.905333334,0.896,0.818666667,0.333333333,0.826666667,0.9946667
Car,0.916666667,0.913333333,0.776666667,0.783333333,0.7,0.736666667,0.316666667,0.586666667,0.89000005
CBF,0.995777778,0.993777777,0.959333333,0.869111111,0.907777778,0.896,0.332444444,0.977333333,0.9962223
Chinatown,0.978425656,0.979591837,0.977259475,0.871720117,0.945189504,0.825072886,0.725947522,0.965597667,0.9836736
ChlorineConcentration,0.852760417,0.816510417,0.608020834,0.799947917,0.662291667,0.554114583,0.532552083,0.58265625,0.8265104
CinCECGTorso,0.837826087,0.82884058,0.74884058,0.837536232,0.801449276,0.288405797,0.25,0.74768116,0.8208696
Coffee,1,1,1,0.992857143,0.978571428,0.978571429,0.507142857,0.885714286,1
Computers,0.8056,0.8192,0.5392,0.5584,0.5896,0.6408,0.5,0.6304,0.8224001
CricketX,0.798974359,0.794358974,0.534871795,0.591282051,0.513333333,0.626666667,0.074358974,0.643589743,0.8005129
CricketY,0.81025641,0.792820513,0.581538462,0.598461538,0.521025641,0.651794872,0.084615385,0.639487179,0.8369231
CricketZ,0.808717949,0.80974359,0.501025641,0.629230769,0.483589744,0.642564103,0.061538462,0.650769231,0.8205129
Crop,0.742928571,0.738166667,0.670214286,0.61772619,0.686952381,0.489,0.041666667,0.759654762,0.76929766
DiatomSizeReduction,0.300653595,0.346405229,0.954248366,0.909150327,0.646405229,0.91372549,0.300653595,0.879738562,0.9490196
